"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 16:40:28 GMT 2024","Sat Nov 23 16:40:29 GMT 2024","904","","","","BuildTypeTests","ProjectAdminCreatesBuildTypeForAnotherUserProject","ProjectAdminCreatesBuildTypeForAnotherUserProject","Project admin should not be able to create build type for not their project
"
"passed","Sat Nov 23 16:40:29 GMT 2024","Sat Nov 23 16:40:30 GMT 2024","364","","","","BuildTypeTests","UserCreatesTwoBuildTypesWithTheSameId","UserCreatesTwoBuildTypesWithTheSameId","User should not be able to create two build types with the same id
"
"passed","Sat Nov 23 16:40:30 GMT 2024","Sat Nov 23 16:40:30 GMT 2024","193","","","","BuildTypeTests","UserGetsProjectDetailsByNameLocator","UserGetsProjectDetailsByNameLocator","User should be able to get project details by name locator
"
"passed","Sat Nov 23 16:40:26 GMT 2024","Sat Nov 23 16:40:28 GMT 2024","2243","","","","BuildTypeTests","ProjectAdminCreatesBuildType","ProjectAdminCreatesBuildType","Project admin should be able to create build type for their project
"
"passed","Sat Nov 23 16:40:29 GMT 2024","Sat Nov 23 16:40:29 GMT 2024","277","","","","BuildTypeTests","UserCreatesBuildType","UserCreatesBuildType","User should be able to create build type
"
"passed","Sat Nov 23 16:39:26 GMT 2024","Sat Nov 23 16:40:15 GMT 2024","48596","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
