"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 10:51:18 GMT 2024","Sun Nov 24 10:52:13 GMT 2024","55447","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
"passed","Sun Nov 24 10:52:28 GMT 2024","Sun Nov 24 10:52:29 GMT 2024","818","","","","BuildTypeTests","UserCreatesTwoBuildTypesWithTheSameId","UserCreatesTwoBuildTypesWithTheSameId","User should not be able to create two build types with the same id
"
"passed","Sun Nov 24 10:52:28 GMT 2024","Sun Nov 24 10:52:28 GMT 2024","349","","","","BuildTypeTests","UserCreatesBuildType","UserCreatesBuildType","User should be able to create build type
"
"passed","Sun Nov 24 10:52:25 GMT 2024","Sun Nov 24 10:52:27 GMT 2024","2517","","","","BuildTypeTests","ProjectAdminCreatesBuildType","ProjectAdminCreatesBuildType","Project admin should be able to create build type for their project
"
"passed","Sun Nov 24 10:52:28 GMT 2024","Sun Nov 24 10:52:28 GMT 2024","294","","","","BuildTypeTests","ProjectAdminCreatesBuildTypeForAnotherUserProject","ProjectAdminCreatesBuildTypeForAnotherUserProject","Project admin should not be able to create build type for not their project
"
"passed","Sun Nov 24 10:52:29 GMT 2024","Sun Nov 24 10:52:30 GMT 2024","591","","","","BuildTypeTests","UserGetsProjectDetailsByNameLocator","UserGetsProjectDetailsByNameLocator","User should be able to get project details by name locator
"
