"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 14:23:57 GMT 2024","Sat Nov 23 14:24:46 GMT 2024","48324","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
"passed","Sat Nov 23 14:25:00 GMT 2024","Sat Nov 23 14:25:01 GMT 2024","404","","","","BuildTypeTests","UserCreatesBuildType","UserCreatesBuildType","User should be able to create build type
"
"passed","Sat Nov 23 14:25:01 GMT 2024","Sat Nov 23 14:25:01 GMT 2024","300","","","","BuildTypeTests","UserCreatesTwoBuildTypesWithTheSameId","UserCreatesTwoBuildTypesWithTheSameId","User should not be able to create two build types with the same id
"
"passed","Sat Nov 23 14:25:01 GMT 2024","Sat Nov 23 14:25:01 GMT 2024","282","","","","BuildTypeTests","UserGetsProjectDetailsByNameLocator","UserGetsProjectDetailsByNameLocator","User should be able to get project details by name locator
"
"passed","Sat Nov 23 14:24:56 GMT 2024","Sat Nov 23 14:25:00 GMT 2024","3169","","","","BuildTypeTests","ProjectAdminCreatesBuildType","ProjectAdminCreatesBuildType","Project admin should be able to create build type for their project
"
"passed","Sat Nov 23 14:25:00 GMT 2024","Sat Nov 23 14:25:00 GMT 2024","518","","","","BuildTypeTests","ProjectAdminCreatesBuildTypeForAnotherUserProject","ProjectAdminCreatesBuildTypeForAnotherUserProject","Project admin should not be able to create build type for not their project
"
