"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 13:46:50 GMT 2024","Sat Nov 23 13:46:50 GMT 2024","329","","","","BuildTypeTests","UserCreatesBuildType","UserCreatesBuildType","User should be able to create build type
"
"passed","Sat Nov 23 13:46:50 GMT 2024","Sat Nov 23 13:46:51 GMT 2024","278","","","","BuildTypeTests","UserCreatesTwoBuildTypesWithTheSameId","UserCreatesTwoBuildTypesWithTheSameId","User should not be able to create two build types with the same id
"
"passed","Sat Nov 23 13:46:47 GMT 2024","Sat Nov 23 13:46:50 GMT 2024","2458","","","","BuildTypeTests","ProjectAdminCreatesBuildType","ProjectAdminCreatesBuildType","Project admin should be able to create build type for their project
"
"passed","Sat Nov 23 13:46:51 GMT 2024","Sat Nov 23 13:46:51 GMT 2024","172","","","","BuildTypeTests","UserGetsProjectDetailsByNameLocator","UserGetsProjectDetailsByNameLocator","User should be able to get project details by name locator
"
"passed","Sat Nov 23 13:46:50 GMT 2024","Sat Nov 23 13:46:50 GMT 2024","314","","","","BuildTypeTests","ProjectAdminCreatesBuildTypeForAnotherUserProject","ProjectAdminCreatesBuildTypeForAnotherUserProject","Project admin should not be able to create build type for not their project
"
"passed","Sat Nov 23 13:45:43 GMT 2024","Sat Nov 23 13:46:37 GMT 2024","53691","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
