"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 10:22:45 GMT 2024","Sun Nov 24 10:22:46 GMT 2024","346","","","","BuildTypeTests","UserCreatesTwoBuildTypesWithTheSameId","UserCreatesTwoBuildTypesWithTheSameId","User should not be able to create two build types with the same id
"
"passed","Sun Nov 24 10:22:45 GMT 2024","Sun Nov 24 10:22:45 GMT 2024","292","","","","BuildTypeTests","UserCreatesBuildType","UserCreatesBuildType","User should be able to create build type
"
"passed","Sun Nov 24 10:22:45 GMT 2024","Sun Nov 24 10:22:45 GMT 2024","345","","","","BuildTypeTests","ProjectAdminCreatesBuildTypeForAnotherUserProject","ProjectAdminCreatesBuildTypeForAnotherUserProject","Project admin should not be able to create build type for not their project
"
"passed","Sun Nov 24 10:22:46 GMT 2024","Sun Nov 24 10:22:46 GMT 2024","191","","","","BuildTypeTests","UserGetsProjectDetailsByNameLocator","UserGetsProjectDetailsByNameLocator","User should be able to get project details by name locator
"
"passed","Sun Nov 24 10:21:39 GMT 2024","Sun Nov 24 10:22:31 GMT 2024","51516","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
"passed","Sun Nov 24 10:22:42 GMT 2024","Sun Nov 24 10:22:45 GMT 2024","2684","","","","BuildTypeTests","ProjectAdminCreatesBuildType","ProjectAdminCreatesBuildType","Project admin should be able to create build type for their project
"
