"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 14:11:57 GMT 2024","Sat Nov 23 14:11:57 GMT 2024","312","","","","BuildTypeTests","ProjectAdminCreatesBuildTypeForAnotherUserProject","ProjectAdminCreatesBuildTypeForAnotherUserProject","Project admin should not be able to create build type for not their project
"
"passed","Sat Nov 23 14:11:54 GMT 2024","Sat Nov 23 14:11:57 GMT 2024","3336","","","","BuildTypeTests","ProjectAdminCreatesBuildType","ProjectAdminCreatesBuildType","Project admin should be able to create build type for their project
"
"passed","Sat Nov 23 14:10:53 GMT 2024","Sat Nov 23 14:11:42 GMT 2024","49098","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
"passed","Sat Nov 23 14:11:58 GMT 2024","Sat Nov 23 14:11:58 GMT 2024","180","","","","BuildTypeTests","UserGetsProjectDetailsByNameLocator","UserGetsProjectDetailsByNameLocator","User should be able to get project details by name locator
"
"passed","Sat Nov 23 14:11:58 GMT 2024","Sat Nov 23 14:11:58 GMT 2024","324","","","","BuildTypeTests","UserCreatesTwoBuildTypesWithTheSameId","UserCreatesTwoBuildTypesWithTheSameId","User should not be able to create two build types with the same id
"
"passed","Sat Nov 23 14:11:57 GMT 2024","Sat Nov 23 14:11:58 GMT 2024","357","","","","BuildTypeTests","UserCreatesBuildType","UserCreatesBuildType","User should be able to create build type
"
