"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 10:30:56 GMT 2024","Sun Nov 24 10:31:09 GMT 2024","13325","","","","CreateBuildTypeTests","UserCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sun Nov 24 10:31:10 GMT 2024","Sun Nov 24 10:31:27 GMT 2024","16943","","","","CreateProjectTests","UserCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 10:28:59 GMT 2024","Sun Nov 24 10:29:48 GMT 2024","48958","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
"passed","Sun Nov 24 10:31:30 GMT 2024","Sun Nov 24 10:31:37 GMT 2024","7218","","","","SearchProjectTests","UserSearchesProjectByFullName","User should be able search project by full name",""
"passed","Sun Nov 24 10:30:00 GMT 2024","Sun Nov 24 10:30:56 GMT 2024","55961","","","","CreateBuildTypeTests","UserCreatesBuildType","User should be able to create build type",""
