"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 15:37:00 GMT 2024","Sat Nov 23 15:37:17 GMT 2024","16976","","","","CreateProjectTests","UserCreatesProject","User should be able to create project",""
"passed","Sat Nov 23 15:34:47 GMT 2024","Sat Nov 23 15:35:44 GMT 2024","57000","","","","SetupServerTests","SetupTeamCityServer","SetupTeamCityServer",""
"passed","Sat Nov 23 15:37:19 GMT 2024","Sat Nov 23 15:37:27 GMT 2024","8074","","","","SearchProjectTests","UserSearchesProjectByFullName","User should be able search project by full name",""
"passed","Sat Nov 23 15:35:55 GMT 2024","Sat Nov 23 15:36:45 GMT 2024","49848","","","","CreateBuildTypeTests","UserCreatesBuildType","User should be able to create build type",""
"passed","Sat Nov 23 15:36:45 GMT 2024","Sat Nov 23 15:36:58 GMT 2024","13202","","","","CreateBuildTypeTests","UserCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
